id,Nombre,Origen,Mitologia,Tipo,Descripcion,Poderes,Lore
54,Loki,Escandinavia,Nórdica,Dios,Dios del engaño y la astucia,Metamorfosis; ilusiones; astucia suprema; magia,"Loki era hijo de un gigante pero fue adoptado como hermano de sangre de Odin. Ingenioso y cambiante se transformó en yegua para distraer al caballo de un constructor gigante, quedando preñado y pariendo a Sleipnir el caballo de ocho patas de Odin. También fue madre de Fenrir, Jörmungandr y Hel. Causó la muerte de Baldur engañando al ciego Höðr para que lanzara un dardo de muérdago. Como castigo fue encadenado en una cueva donde una serpiente le gotea veneno en la frente."
55,Tyr,Escandinavia,Nórdica,Dios,Dios nórdico de la justicia y la guerra honorable,Valentía sobrenatural; poder sobre la justicia y los juramentos,Tyr era el más valiente de los dioses nórdicos. Cuando los dioses necesitaban atar a Fenrir con la cadena mágica Gleipnir el lobo solo aceptó si uno de los dioses metía la mano en su boca como garantía. Solo Tyr tuvo el valor de hacerlo. Cuando Fenrir quedó atado y los dioses no cumplieron su promesa de liberarlo el lobo arrancó la mano de Tyr de un mordisco. Tyr asumió la pérdida como precio necesario para la seguridad de los Nueve Mundos.
56,Baldur,Escandinavia,Nórdica,Dios,Dios de la luz y la pureza,Invulnerabilidad a casi todo daño; luz divina; belleza sobrenatural,Baldur era tan bello y tan amado que los dioses le pidieron a todo lo existente que jurara no hacerle daño. Todo juró excepto el muérdago al que su madre Frigg consideró demasiado joven para comprometerse. Loki descubrió la excepción y engañó al dios ciego Höðr para que lanzara un dardo de muérdago a Baldur durante un juego donde los dioses se divertían arrojándole objetos. El dardo lo mató instantáneamente. Su muerte fue el preludio del Ragnarök.
57,Hel,Escandinavia,Nórdica,Diosa,Gobernante del reino de los muertos nórdico,Control sobre los muertos; inmortalidad; dominio del inframundo nórdico,Hel governa Niflheim el reino de los muertos que no cayeron en batalla. Su cuerpo era mitad vivo rosado y mitad cadáver azul oscuro. Recibía a todos los muertos comunes enfermos y ancianos en su salón Éliúðnir cuya vajilla era hambre y cuyo cuchillo se llamaba inanición. Cuando Baldur murió los dioses enviaron a Hermod a suplicarle que lo liberara. Hel acordó hacerlo si todo lo existente lloraba por él pero Loki disfrazado de giganta se negó a llorar.
58,Freyr,Escandinavia,Nórdica,Dios,Dios de la fertilidad la prosperidad y el sol,Fertilidad; cosechas abundantes; espada mágica; inmortalidad,"Freyr era el señor del mundo de los elfos Álfheimr y dios de la lluvia, el sol y la fertilidad. Se enamoró locamente de la giganta Gerðr al verla desde el trono de Odin. Envió a su criado Skírnir a conquistarla ofreciendo primero regalos luego amenazas y finalmente hechizos. Para obtener a Gerðr cedió su espada mágica que peleaba sola con la que habría podido sobrevivir al Ragnarök. Sin ella murió en el fin del mundo combatiendo al gigante Surtr con un simple cuerno de ciervo."
59,Heimdall,Escandinavia,Nórdica,Dios,Guardián del Bifröst puente entre mundos,Vista y oído infinitos; guardia del Bifröst; Cuerno Gjallarhorn; inmortalidad,Heimdall necesitaba tan poco sueño como un pájaro y podía ver a distancias enormes incluso de noche y escuchar el crecimiento de la hierba y la lana de las ovejas. Su cuerno Gjallarhorn cuando sonara marcaría el inicio del Ragnarök y su sonido se escucharía en todos los rincones del cosmos. Según el poema Rígsthula viajó entre los humanos engendrando las tres clases sociales: esclavos campesinos y nobles. También fue el que recuperó el collar Brísingamen robado a Freya.
60,Vidar,Escandinavia,Nórdica,Dios,Dios del silencio y la venganza hijo de Odin,Fuerza que supera a Thor; silencio absoluto; destino de vengar a Odin,Vidar el silencioso era tan fuerte como Thor aunque raramente lo demostraba. Los dioses sabían que el Ragnarök era inevitable y las profecías establecían con precisión quién mataría a quién. Vidar estaba destinado a vengar la muerte de su padre Odin atravesando con su pie la mandíbula inferior de Fenrir y rasgando su garganta con sus manos. Para ese momento los enanos le preparaban un zapato mágico hecho con los recortes de cuero que los zapateros desechaban desde el principio de los tiempos.
61,Fenrir,Escandinavia,Nórdica,Criatura,Lobo gigante hijo de Loki destinado a devorar a Odin,Tamaño colosal; fuerza que romperá el mundo; mandíbulas entre cielo y tierra,"Fenrir fue criado en Asgard por los dioses pero creció tan enormemente que se volvió aterrador. Los dioses lo encadenaron dos veces con cadenas que él rompió con facilidad. La tercera vez los enanos fabricaron Gleipnir una cinta suave como seda pero más resistente que cualquier metal hecha de ingredientes imposibles: el sonido de los pasos de un gato, la barba de una mujer, las raíces de una montaña, los nervios de un oso, el aliento de un pez y la saliva de un pájaro."
62,Jörmungandr,Escandinavia,Nórdica,Criatura,La Serpiente del Mundo que rodea Midgard,Veneno devastador; tamaño para rodear el mundo; inmortalidad,Jörmungandr la Serpiente del Mundo fue arrojada por Odin al océano que rodea Midgard donde creció tanto que pudo morderse su propia cola rodeando completamente el mundo. Cuando suelte la cola comenzará el Ragnarök. Thor y Jörmungandr son enemigos cósmicos: en el Ragnarök Thor la matará con su martillo pero morirá envenenado a los nueve pasos por su veneno mortal. El pescador que saque a Jörmungandr del océano habrá pescado algo peor que cualquier tormenta.
63,Sleipnir,Escandinavia,Nórdica,Criatura,Caballo de ocho patas de Odin el más veloz de los caballos,Ocho patas; velocidad entre todos los mundos; acceso a Hel; inmortalidad,Sleipnir nació de Loki cuando este se transformó en yegua para distraer al semental Svaðilfari. El constructor gigante del muro de Asgard había apostado con los dioses que terminaría su trabajo a tiempo con solo la ayuda de su caballo. Loki convirtió en yegua para atraer al semental lejos de la obra. El resultado de esa unión fue Sleipnir el caballo gris de ocho patas más veloz de todos los mundos. Odin lo montaba para viajar entre los Nueve Mundos incluyendo el viaje al inframundo.
64,Valquiria,Escandinavia,Nórdica,Criatura,Doncellas guerreras que eligen a los caídos en batalla,Vuelo; selección de los muertos heroicos; guía al Valhalla,"Las Valquirias eran doncellas de batalla enviadas por Odin para decidir el resultado de los combates y seleccionar a los guerreros más valientes para llevarlos al Valhalla. Sus nombres evocaban la batalla: Brynhildr la armadura de batalla, Sigrún la runa de la victoria, Göndul la varita mágica. Servían hidromiel a los einherjar guerreros del Valhalla que se preparan para el Ragnarök. Algunas como Brynhildr desobedecieron a Odin y fueron castigadas quedando atrapadas en un sueño rodeado de fuego."
65,Dragón Fafnir,Escandinavia,Nórdica,Criatura,Enano transformado en dragón por la maldición del oro,Transformación; aliento de veneno; piel impenetrable,Fafnir era originalmente un enano hijo del mago Hreidmar que junto a sus hermanos albergó en su casa a los dioses Odin y Loki. Cuando Loki mató por accidente al hijo de Hreidmar tuvo que pagar con el legendario tesoro de oro y el anillo maldito del enano Andvari. La codicia por ese tesoro corrompió a Fafnir quien mató a su propio padre y se transformó en un terrible dragón para custodiar el oro. El héroe Sigurd lo mató por la espalda mientras bebía agua en un arroyo.
66,Nidhogg,Escandinavia,Nórdica,Criatura,Dragón que roe las raíces del Yggdrasil,Corroer el árbol del mundo; devorar cadáveres; poder cósmico,"Nidhogg el Malhechor roe sin cesar las raíces del Yggdrasil desde el Hvergelmir, la fuente de los ríos en las profundidades de Niflheim. El águila que mora en la copa del árbol y Nidhogg son enemigos eternos y la ardilla Ratatösk corre entre ambos llevando mensajes insultantes de uno al otro para mantener viva su enemistad. En el Ragnarök Nidhogg volará desde las raíces del árbol del mundo portando cadáveres en sus alas como señal del fin de los tiempos."
67,Troll,Escandinavia,Nórdica,Criatura,Seres gigantes que habitan en montañas y se petrifican al sol,Fuerza enorme; resistencia; magia primitiva; petrificación solar,Los trolls nórdicos eran seres enormes y torpes que habitaban en montañas y grutas apartadas de los humanos. Su debilidad más conocida era la luz solar que los convertía en piedra. Por eso viajaban de noche y evitaban cualquier destello de amanecer. Algunos eran astutos y malvados robando ganado y humanos para comérselos. Las historias los presentan como guardianes de tesoros que los héroes debían superar con astucia más que con fuerza pura ya que en combate directo su tamaño los hacía casi invencibles.
68,Sigurd,Escandinavia,Nórdica,Héroe,Héroe nórdico que mató a Fafnir y obtuvo su oro,Invulnerabilidad con sangre de dragón; fuerza heroica; habilidad marcial,Sigurd aprendió el lenguaje de los pájaros al probar accidentalmente la sangre de Fafnir mientras asaba su corazón. Los pájaros le advirtieron que su tutor Regin planeaba matarlo para quedarse con el tesoro. Sigurd mató a Regin y tomó el oro maldito. Luego atravesó un círculo de fuego para despertar a la Valquiria Brynhildr y le prometió matrimonio. Sin embargo un hechizo de olvido lo hizo olvidar su amor y casarse con otra iniciando una cadena de traiciones y muertes.
69,Ra,Norte de África,Egipcia,Dios,Dios del sol creador supremo del panteón egipcio,Control solar; creación divina; rejuvenecimiento cíclico; inmortalidad,"Ra, el dios sol egipcio, viajaba cada día en su barca solar por el cielo iluminando el mundo y cada noche descendía al inframundo para combatir a la serpiente del caos Apep. Cada mañana al amanecer volvía a emerger victorioso. Con el tiempo se fusionó con otras deidades solares formando Ra-Atum y Ra-Horakhty. Envejecía como el sol y fue en su vejez cuando la humanidad se rebeló contra él, momento en que envió a Sekhmet a castigarlos casi exterminándolos."
70,Osiris,Norte de África,Egipcia,Dios,Dios de la muerte la resurrección y el más allá,Resurrección; juicio de los muertos; fertilidad del Nilo; inmortalidad,Osiris fue el primer rey divino de Egipto que enseñó a los hombres la agricultura y la civilización. Su hermano Set lo mató por celos dispersando su cuerpo en catorce pedazos por todo Egipto. Su esposa Isis reunió todos los pedazos excepto el falo que fue devorado por un pez y lo resucitó temporalmente con su magia concibiendo a Horus. Osiris se convirtió entonces en el señor del más allá presidiendo el juicio de los muertos en la Sala de las Dos Verdades.
71,Isis,Norte de África,Egipcia,Diosa,Diosa de la magia la curación y la maternidad,Magia suprema; curación; resurrección; vuelo con alas de pájaro,Isis buscó los fragmentos del cuerpo de Osiris volando en forma de milano por toda la tierra de Egipto. Reunió catorce piezas y fabricó un falo de oro para reemplazar el que faltaba. Con su magia revivió temporalmente a Osiris y concibió a Horus. Se escondió en los pantanos del delta del Nilo para dar a luz y criar a su hijo protegiéndolo de Set. Enseñó a los médicos las artes de curación y a los sacerdotes los ritos mágicos. Fue adorada en todo el Mediterráneo antiguo.
72,Anubis,Norte de África,Egipcia,Dios,Dios de la momificación y el juicio de los muertos,Guía de almas; pesaje del corazón; protección de tumbas; inmortalidad,Anubis presidía el ritual del pesaje del corazón en la Sala de las Dos Verdades. Colocaba el corazón del difunto en un platillo de la balanza y la pluma de Maat en el otro. Si el corazón era más pesado que la pluma significaba una vida de pecados y Ammit lo devoraba. Si era más ligero el alma pasaba al Aaru el campo de juncos el paraíso egipcio. Anubis también fue el inventor de la momificación que aprendió al ayudar a Isis con el cuerpo de Osiris.
73,Horus,Norte de África,Egipcia,Dios,Dios del cielo y la realeza,Visión del ojo de Horus; guerra celestial; protección real; inmortalidad,Horus nació en secreto en los pantanos del Nilo donde Isis lo protegió de Set. Creció para vengar la muerte de su padre Osiris en una serie de combates legendarios contra Set. Perdió un ojo en la lucha que fue arrancado pero restaurado por Thoth. El Ojo de Horus o Udjat se convirtió en uno de los símbolos más poderosos del antiguo Egipto representando protección curación y restauración. Finalmente los dioses declararon a Horus legítimo rey de Egipto.
74,Set,Norte de África,Egipcia,Dios,Dios del caos las tormentas y el desierto,Control de tormentas; fuerza colosal; magia oscura; inmortalidad,Set era el dios del caos el desierto la tormenta y lo extranjero. No era puramente malévolo sino una fuerza necesaria del universo: Ra necesitaba a Set para defender su barca solar contra Apep cada noche. Set mató a Osiris por celos y ambición y durante ochenta años combatió con Horus por el trono de Egipto. Los egipcios lo representaban con la cabeza de un animal enigmático no identificado que los eruditos llaman el animal de Set.
75,Thoth,Norte de África,Egipcia,Dios,Dios del conocimiento la escritura y la luna,Sabiduría y conocimiento infinitos; magia; control lunar; inmortalidad,Thoth llevaba el registro de todos los conocimientos del universo en sus tablillas divinas. Inventó la escritura los números el calendario y la magia. Como dios de la luna medía el tiempo y cuando Ra envejeció fue Thoth quien negoció con la luna para obtener cinco días extras al año usando dados donde ganó la luz suficiente. Esos cinco días fueron cuando nacieron Osiris Set Horus Isis y Neftis. En la Sala del Juicio registraba el veredicto del pesaje del corazón.
76,Bastet,Norte de África,Egipcia,Diosa,Diosa felina de la protección el hogar y la fertilidad,Protección divina; transformación felina; fertilidad; inmortalidad,Bastet fue originalmente una diosa leona feroz protectora del faraón semejante a Sekhmet. Con el tiempo se volvió más doméstica adoptando forma de gata y convirtiéndose en símbolo de protección del hogar la alegría y la fertilidad. Los gatos en el Antiguo Egipto eran sagrados y matar uno aunque fuera accidentalmente podía castigarse con la muerte. Su ciudad sagrada Bubastis celebraba festivales en su honor donde se consumía más vino que en cualquier otra ocasión del año.
77,Sobek,Norte de África,Egipcia,Dios,Dios cocodrilo del Nilo y el poder militar,Fuerza cocodriliana; control del Nilo; poder militar; inmortalidad,Sobek el dios cocodrilo era adorado especialmente en el Fayum y en Kom Ombo donde los cocodrilos sagrados eran alimentados con manjares y adornados con joyas. Se lo invocaba para obtener protección en el Nilo cuyas aguas controlaba. También se lo asociaba con el poder y la fuerza del faraón. En algunos mitos ayudó a reunir los miembros de Osiris y por eso tenía una naturaleza ambivalente siendo tanto peligroso como protector.
78,Sekhmet,Norte de África,Egipcia,Diosa,Diosa leona de la guerra la enfermedad y la curación,Fuerza destructora; aliento de fuego; enfermedad y curación; inmortalidad,Sekhmet fue enviada por Ra para castigar a la humanidad que se había rebelado contra los dioses. Se transformó en leona y comenzó a masacrar humanos con tanta eficiencia que Ra decidió detenerla pero ella estaba en trance de sangre y no podía parar. Ra inundó los campos con cerveza teñida de rojo que Sekhmet confundió con sangre y bebió hasta emborracharse y quedarse dormida. Al despertar había olvidado su misión destructora y se transformó en la amable Hathor.
79,Nut,Norte de África,Egipcia,Diosa,Diosa del cielo que cubre la tierra con su cuerpo,Sostener el cielo; tragar y renacer al sol; inmortalidad; control celeste,Nut se arqueaba sobre la tierra formando con su cuerpo la bóveda celeste. Sus dedos tocaban un horizonte y sus pies el otro. Geb su esposo yacía bajo ella como la tierra. Ra viajaba cada día por su cuerpo y Nut lo tragaba cada noche al ponerse el sol para que viajara por su interior y renaciera al amanecer por el este. Nut también tragaba las estrellas al amanecer y las volvía a dar a luz al anochecer. No podía parir en ningún día del año calendárico hasta que Thoth le ganó los cinco días extra a la luna.
80,Geb,Norte de África,Egipcia,Dios,Dios de la tierra padre de Osiris e Isis,Control de la tierra; terremotos; fertilidad del suelo; inmortalidad,Geb era la tierra misma y cuando se reía se producían los terremotos. Su color verde representaba la vegetación que surgía de él. Con su esposa Nut tuvo a Osiris Set Isis y Neftis que serían los dioses más importantes del panteón egipcio. Fue separado de Nut por Shu el dios del aire quien lo empujó hacia abajo y elevó a Nut hacia arriba creando el espacio entre cielo y tierra. La sepultura en tierra era sagrada porque significaba descansar en el cuerpo de Geb.
81,Ptah,Norte de África,Egipcia,Dios,Dios creador de Menfis patrón de los artesanos,Creación por la palabra; artesanía suprema; inmortalidad,Ptah era el dios creador de Menfis que creó el mundo no con acciones físicas sino con su corazón el pensamiento y su lengua la palabra. Este concepto anticipó la noción del Logos griego. Era representado como una momia sosteniendo un cetro combinado de vida y estabilidad. Patrón de artesanos arquitectos y escultores los trabajadores que construyeron las pirámides se consideraban sus sirvientes. Los griegos lo identificaron con Hefesto y es posible que el nombre Egipto derive de Hwt-ka-Ptah un nombre de su templo.
82,Ammit,Norte de África,Egipcia,Criatura,Devoradora de corazones impuros en el juicio de los muertos,Devorar almas; cuerpo de tres animales; inmortalidad,"Ammit no era exactamente un dios sino un ser demoníaco que servía como agente de la justicia divina. Tenía la cabeza de un cocodrilo el cuerpo delantero de un leopardo y el trasero de un hipopótamo, los tres animales más peligrosos conocidos por los egipcios. Esperaba junto a la balanza del juicio y si el corazón era demasiado pesado de culpas lo devoraba instantáneamente. El alma así consumida sufría la segunda muerte que era el verdadero final ya que no podría existir en el más allá."
83,Esfinge Egipcia,Norte de África,Egipcia,Criatura,Guardián con cuerpo de león y cabeza humana,Sabiduría ancestral; protección de lugares sagrados; fuerza leonina,La Gran Esfinge de Guiza guarda el complejo funerario del faraón Kefrén desde hace más de 4500 años. Representa al faraón con cuerpo de león simbolizando el poder real y la protección divina. En la mitología egipcia las esfinges eran guardianes de los lugares sagrados con la sabiduría para juzgar quién podía pasar. El poema del Sueño de la Esfinge cuenta que Tutmosis IV prometió limpiar la arena que la cubría a cambio de que los dioses le dieran el trono de Egipto.
84,Apep,Norte de África,Egipcia,Criatura,Serpiente del caos enemiga eterna de Ra,Devorar el sol; oscuridad absoluta; caos primordial; inmortalidad,"Apep era el enemigo cósmico del orden y la creación, una serpiente primordial que existía desde antes del amanecer del mundo. Cada noche atacaba la barca solar de Ra durante su viaje por el inframundo y los sacerdotes egipcios realizaban rituales mágicos cotidianos para ayudar a Ra a vencerlo. Lo golpeaban con cuchillos lo escupían y quemaban imágenes suyas. Incluso con todas estas precauciones a veces Apep ganaba brevemente causando un eclipse solar."
85,Brahma,Asia del Sur,Hindú,Dios,Dios creador del universo en el hinduismo,Creación del universo; sabiduría cósmica; cuatro cabezas y brazos; inmortalidad,Brahma es el creador del universo en la trinidad hindú o Trimurti junto con Vishnu el preservador y Shiva el destructor. Nació de un loto que emergió del ombligo de Vishnu cuando este dormía en el océano cósmico. Brahma tiene cuatro cabezas orientadas a los cuatro puntos cardinales porque originalmente tenía cinco cabezas pero Shiva le cortó una cuando Brahma mintió sobre haber encontrado el extremo superior de un pilar de luz infinito.
86,Vishnu,Asia del Sur,Hindú,Dios,Dios preservador del universo,Preservación cósmica; diez avatares; armas divinas; omnisciencia,Vishnu el Preservador ha descendido al mundo en diez avatares o encarnaciones para restablecer el dharma el orden cósmico cuando el mal amenaza con destruirlo. Entre sus avatares más conocidos están Rama el rey virtuoso Krishna el dios del amor y la compasión el Buda y Kalki que aún está por venir al final de esta era. Vishnu reposa sobre la serpiente Shesha en el océano cósmico hasta que su presencia es necesaria en el mundo.
87,Shiva,Asia del Sur,Hindú,Dios,Dios destructor y transformador,Destrucción y recreación cósmica; danza del Tandava; tercer ojo; inmortalidad,Shiva habitaba en el Monte Kailash en los Himalayas con su esposa Parvati. Era el más ascético de los dioses hindúes pero también el más apasionado. Su danza del Tandava creaba y destruía el universo. Su tercer ojo podía reducir a cenizas todo lo que mirara. Cuando el Ganges descendió del cielo con una fuerza que habría destruido la tierra Shiva la recibió en sus rastas absorbiendo el impacto. El veneno del mundo lo ingirió él mismo para salvarlo tiñendo su garganta de azul.
88,Kali,Asia del Sur,Hindú,Diosa,Diosa de la destrucción el tiempo y el poder,Destrucción del mal; fuerza incontrolable; danza destructora; inmortalidad,Kali surgió de la frente de Durga durante la batalla contra el demonio Raktabija que se reproducía de cada gota de su sangre. Kali comenzó a devorar a los demonios impidiendo que su sangre cayera al suelo. En su frenesí de destrucción amenazaba con destruir el universo entero. Shiva se tiró a sus pies y al pisarlo ella se detuvo horrorizada de haber pisado a su esposo. Se la representa de piel oscura con una guirnalda de cabezas humanas y la lengua fuera.
89,Durga,Asia del Sur,Hindú,Diosa,Diosa guerrera de la fuerza y la protección,Diez brazos con armas divinas; derrota de demonios; montada en tigre; inmortalidad,Durga fue creada por los dioses combinando todos sus poderes en una sola forma femenina cuando ninguno podía derrotar al demonio búfalo Mahishasura que los había expulsado del cielo. Cada dios le donó su arma más poderosa y los diez brazos de Durga los blandían todos simultáneamente. Combatió durante nueve días la batalla que se conmemora en el festival de Navratri. El décimo día Dasami Durga mató a Mahishasura y restauró el orden divino.
90,Saraswati,Asia del Sur,Hindú,Diosa,Diosa del conocimiento las artes y la música,Sabiduría; artes; música divina; inmortalidad; sitar celestial,Saraswati es la consorte de Brahma y la madre de todos los Vedas los textos sagrados del hinduismo. Se la representa vestida de blanco sobre un loto blanco tocando la veena una especie de laúd con cuatro brazos que simbolizan los aspectos del aprendizaje humano. Los estudiantes le hacen ofrendas antes de los exámenes y los artistas antes de sus actuaciones. El río Saraswati que fluía por el noroeste de India era tan sagrado que su desaparición se considera una pérdida cósmica.
91,Lakshmi,Asia del Sur,Hindú,Diosa,Diosa de la prosperidad la fortuna y la belleza,Prosperidad; fortuna; fertilidad; belleza divina; inmortalidad,Lakshmi emergió del océano de leche cuando los dioses y los demonios lo batieron buscando el néctar de la inmortalidad. Eligió a Vishnu como su esposo eterno y lo acompaña en cada una de sus reencarnaciones: fue Sita cuando él era Rama y Radha cuando era Krishna. Se sienta en un loto y distribuye riqueza y prosperidad con sus cuatro manos. Su festividad Diwali el festival de las luces se celebra en su honor cuando las familias limpian y alumbran sus hogares para recibirla.
92,Ganesha,Asia del Sur,Hindú,Dios,Dios de la sabiduría los comienzos y la prosperidad,Eliminación de obstáculos; sabiduría; escritura; inmortalidad,Ganesha tiene cabeza de elefante porque su padre Shiva decapitó al niño en un malentendido al no reconocerlo cuando volvió de un largo viaje. Parvati desesperada obligó a Shiva a reemplazar la cabeza con la del primer ser que encontrara que resultó ser un elefante. Ganesha es venerado al inicio de cualquier empresa para remover obstáculos. También es el escriba que anotó el Mahabharata al dictado de Vyasa utilizando como cálamo uno de sus propios colmillos.
93,Hanuman,Asia del Sur,Hindú,Héroe,Devoto sirviente de Rama con cuerpo de mono,Fuerza colosal; vuelo; cambio de tamaño; devoción indestructible,Hanuman fue hijo del dios del viento Vayu y desde niño mostró poderes extraordinarios. De bebé intentó atrapar el sol creyendo que era una fruta. Ayudó a Rama a rescatar a Sita de Lanka construyendo un puente de rocas al mar con su ejército de monos. Cuando Lakshmana fue herido de muerte Hanuman trajo entera la montaña que contenía la hierba medicinal porque no sabía cuál era la correcta. Su devoción a Rama era tan absoluta que al abrirse el pecho se veía la imagen de Rama en su corazón.
94,Rama,Asia del Sur,Hindú,Héroe,Séptimo avatar de Vishnu rey modelo de virtud,Habilidad con el arco; fuerza; justicia divina; encarnación de la virtud,Rama fue el príncipe de Ayodhya desterrado injustamente durante catorce años por la ambición de su madrastra. Durante el exilio su esposa Sita fue raptada por Ravana el rey demonio de Lanka. Rama alió con el rey de los monos Sugriva y con Hanuman para cruzar el océano y rescatar a Sita. La épica batalla en Lanka culminó con la derrota y muerte de Ravana. El Ramayana es una de las obras literarias más importantes del mundo con más de 300 versiones en diferentes culturas asiáticas.
95,Krishna,Asia del Sur,Hindú,Dios,Octavo avatar de Vishnu dios del amor y la compasión,Magia; fuerza; velocidad; flauta mágica; omnisciencia; inmortalidad,Krishna nació en una celda de prisión donde su tío el rey Kansa lo tenía encerrado para cumplir la profecía que decía que sería matado por un sobrino. Su padre lo sacó en secreto esa noche atravesando el río Yamuna milagrosamente. Creció entre pastores y pastoras a quienes encantaba con su flauta. Siendo adulto mató a Kansa y más tarde guió a los Pandavas en la gran guerra del Mahabharata donde impartió las enseñanzas del Bhagavad Gita al guerrero Arjuna.
96,Indra,Asia del Sur,Hindú,Dios,Rey de los dioses y dios de la lluvia y el trueno,Rayo Vajra; control de la lluvia y las tormentas; liderazgo divino,Indra era el rey de los dioses en los Vedas más antiguos y el guerrero divino por excelencia. Mató a Vritra la gran serpiente que retenía las aguas del mundo liberando las lluvias y los ríos. Su arma era el vajra el rayo forjado de los huesos del sabio Dadhichi. Con el tiempo perdió prominencia frente a la Trimurti de Brahma Vishnu y Shiva. Krishna lo desafió famosamente instando a los pastores a dejar de hacerle ofrendas y Indra furioso desató tormentas devastadoras que Krishna detuvo.
97,Garuda,Asia del Sur,Hindú,Criatura,Águila divina vehículo de Vishnu,Vuelo supremo; velocidad del viento; poder sobre serpientes; inmortalidad,Garuda nació para liberar a su madre Vinata de la esclavitud a la que la tenían sometida los nagas serpientes que la habían derrotado en una apuesta. Para liberarla debía robar el amrita el néctar de la inmortalidad a los dioses. Lo logró pero Vishnu impresionado por su valentía lo hizo su vahana su montura divina sin que Garuda bebiera el néctar. Desde entonces Garuda es el enemigo natural de los nagas y el símbolo de la velocidad y el poder del sol.
98,Naga,Asia del Sur,Hindú,Criatura,Seres serpentinos divinos guardianes del agua,Control del agua; veneno; sabiduría ancestral; transformación humana,Los Nagas son seres divinos con cuerpo de serpiente que pueden adoptar forma humana a voluntad. Gobiernan el reino subterráneo Patala que está repleto de riquezas. La gran serpiente Shesha sostiene al universo enroscada alrededor del monte Meru y Vishnu duerme sobre ella. La serpiente Vasuki fue usada como soga para batir el océano de leche. Los nagas controlan las lluvias y el agua subterránea y son tanto temidos como venerados en toda Asia del Sur y del Sureste.
99,Ravana,Asia del Sur,Hindú,Criatura,Rey demonio de diez cabezas de Lanka,Diez cabezas y veinte brazos; fuerza colosal; magia; casi inmortalidad,Ravana era un brahmán devoto que obtuvo poderes inmensos de Brahma mediante décadas de austeridades extremas. Conquistó todos los mundos y doblegó a los propios dioses. Era un músico sublime y un filósofo profundo pero su arrogancia y su lujuria fueron su perdición. Tenía diez cabezas que representaban su dominio de los cuatro Vedas y los seis Shastras textos sagrados. Fue maldecido por varias deidades que finalmente se encarnaron en Rama expresamente para vencerlo.
100,Asura,Asia del Sur,Hindú,Criatura,Seres demoníacos poderosos enemigos de los dioses,Fuerza sobrehumana; magia; metamorfosis; casi inmortalidad,Los Asuras eran en los textos más antiguos seres poderosos no necesariamente malignos que competían con los Devas dioses por el control de los mundos. La gran batalla entre Devas y Asuras por el amrita el néctar de la inmortalidad es uno de los mitos más elaborados: batieron el océano de leche usando al monte Meru como palo y a Vasuki la serpiente como cuerda. Con el tiempo los Asuras se volvieron sinónimo de fuerzas demoníacas aunque en el zoroastrismo persa los Ahuras son los seres buenos.
101,Amaterasu,Asia Oriental,Japonesa,Diosa,Diosa del sol y gobernante del Paraíso,Control solar; luz divina; purificación; inmortalidad,Amaterasu se escondió en la Cueva del Cielo Ama-no-Iwato después de que su hermano Susanoo destruyó sus arrozales con su comportamiento violento. El mundo quedó en oscuridad y los demonios proliferaron. Los ocho millones de dioses se reunieron afuera de la cueva y organizaron una fiesta ruidosa. Cuando Amaterasu asomó curiosa para ver qué ocurría el dios Ame-no-Tajikarao la jaló afuera y otra deidad bloqueó la entrada. La luz volvió al mundo.
102,Susanoo,Asia Oriental,Japonesa,Dios,Dios de las tormentas y el mar,Control de tormentas; fuerza divina; maestría con la espada; inmortalidad,Susanoo fue desterrado del cielo por sus lamentos constantes queriendo visitar a su madre muerta Izanami y por destruir los cultivos de arroz de su hermana Amaterasu. Desterrado en la tierra de Izumo mató al dragón de ocho cabezas Yamata no Orochi emborrachándolo con sake y desenterró de su cola la espada Kusanagi que se convertiría en una de las tres insignias imperiales de Japón. Se redimió y fue honrado como héroe de la tierra.
103,Izanagi,Asia Oriental,Japonesa,Dios,Dios creador padre de los dioses japoneses,Creación de islas y dioses; poder primordial; inmortalidad,Izanagi e Izanami bajaron al puente flotante del cielo Ame-no-Ukihashi y revolvieron el océano primordial con una lanza enjoyada. Las gotas que cayeron formaron la primera isla. Descendieron y crearon las ocho islas del archipiélago japonés y los kami dioses naturales. Cuando Izanami murió al dar a luz al dios del fuego Izanagi descendió al Yomi el inframundo a buscarla. Al verla descompuesta huyó horrorizado bloqueando la salida con una roca.
104,Izanami,Asia Oriental,Japonesa,Diosa,Diosa madre muerta que gobierna el inframundo,Control sobre la muerte; ejércitos de demonios; inmortalidad,Izanami murió al dar a luz al dios del fuego Kagutsuchi cuyas llamas quemaron su cuerpo. Descendió al Yomi el mundo de los muertos transformándose en una deidad de la muerte. Cuando Izanagi fue a buscarla le rogó que no la mirara pero él encendió una antorcha y vio su cuerpo putrefacto lleno de gusanos y ocho dioses del trueno. Horrorizado huyó e Izanami furiosa envió demonios tras él. Izanagi selló el Yomi con una roca enorme e Izanami juró matar mil personas al día en venganza.
